resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 62637210, 'resource_state': 1}",burn off the nuggets,0.0,1820,1820,0.0,Ride,Ride,10.0,Apple Watch Series 8,16850448604,2025-12-27T03:41:20Z,2025-12-26T22:41:20Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16850448604', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,144.3,178.0,False,True,0.0,0.0,17942267118,17942267118,5C248004-7F46-436E-9939-4D452164851D.fit,False,0,1,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Night Weight Training,0.0,3272,3272,0.0,WeightTraining,WeightTraining,30.0,Apple Watch Series 8,16850345962,2025-12-27T02:35:37Z,2025-12-26T21:35:37Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16850345962', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,85.3,130.0,False,True,0.0,0.0,17942161400,17942161400,751C0489-B374-44AA-A9E6-8F4D63C37F5E.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Afternoon Run,7072.0,2804,2809,5.4,Run,Run,,Apple Watch Series 8,16832221249,2025-12-24T19:03:52Z,2025-12-24T14:03:52Z,(GMT-05:00) America/Toronto,-18000.0,,,,0,0,0,1,0,"{'id': 'a16832221249', 'summary_polyline': 'efkjGhczbNYLi@ZYHm@d@IBc@Ks@WG_@IWMSOKe@AWFkCzBOVENC^B`@FRJNJJLFT@XI`CsBT[FYBWC]GUKSSMWEUBmCzBKLIRGd@Dj@P\\XRL@NAXM~BsBJOFOFa@A]GWKSKMQII?M?UHeCtBORKb@?b@F\\LVPNLDR?RIbCsBPSFOD]?_@CQKYQQUIS?MDeCtBUVKb@AZD^LXPPNDN@TEjC{BNSHYBUA]K]MUYOU?QDkCzBOTGXC\\B\\JXNRNFTBTEbCsBPSHODQB_@E_@K[MOSIUAOBID_CpBQTKZC\\B\\FVNTRJNBTCPK|BoBPSH]BWC_@K[QUOIUASDeCrBSVKXC\\@ZJ^LPLHRDTATMrBgBRSFMH]@_@E[GOMSSMSAUBkCxBSXIZAPDf@DPHPJHLFJBTARKbCuBNUFSB_@C]K[QSWKM?UFkCxBKNM`@A^D\\JXHJRJRBTEjCwBR]H[@_@E[MYQQUGK?UDgCvBORK\\C\\Db@HTPRLHZ@JCRMxBmBPUFQD[A_@I[OUQMQCU@QJoBbB_@`@IZC`@D\\HXTTLDN@TCbCsBTUJ[DYA_@GYOWUMUCUDiCvBMPKXEX@\\FZLTRLRDTCPKdByAZWJOJ_@BYC_@GUIOUQWESDMF}BnBORKXE\\B^FXJNPNTDRAXQtBiBLMHODQB]C_@K[IMUOSCSDOHcAz@{@t@KNM\\CZ@XHZJRRLPDVCPKtBgBTUJYD]A]I]OUSMWAQBeCrBUXKXC^B`@HVNRPJT@RCPMrBeBNQHMFYB[C[K]QSSKS?QDmCzBMRK^Ab@Hb@PV', 'resource_state': 2}",False,False,False,False,everyone,False,,"[43.806407, -79.271272]","[43.80925, -79.273594]",2.522,3.6,True,172.8,185.0,False,True,185.4,182.0,17923669076,17923669076,C36B24BE-F1B5-4824-90AC-C6DEF7565770.fit,False,0,0,False,170.0,203.0,170.0,True,476.7
2,"{'id': 62637210, 'resource_state': 1}",Afternoon Weight Training,0.0,3723,3723,0.0,WeightTraining,WeightTraining,30.0,Apple Watch Series 8,16788039398,2025-12-19T20:51:01Z,2025-12-19T15:51:01Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16788039398', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,107.4,148.0,False,True,0.0,0.0,17878863363,17878863363,B8D25E08-6EF4-44D0-8D4C-36013C66CF44.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Night Weight Training,0.0,4058,4058,0.0,WeightTraining,WeightTraining,30.0,Apple Watch Series 8,16781834998,2025-12-19T03:09:06Z,2025-12-18T22:09:06Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16781834998', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,115.5,149.0,False,True,0.0,0.0,17872570113,17872570113,3496ECEA-F341-4F00-B225-D9ACEC4D13E6.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Evening Weight Training,0.0,2800,2800,0.0,WeightTraining,WeightTraining,30.0,Apple Watch Series 8,16753879412,2025-12-16T00:12:10Z,2025-12-15T19:12:10Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16753879412', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,98.4,134.0,False,True,0.0,0.0,17844341918,17844341918,B2B96023-6AA6-455F-AF93-B4D129D4C4B1.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Evening Workout,0.0,3372,3372,0.0,Workout,Workout,,Apple Watch Series 8,16753522923,2025-12-15T23:05:16Z,2025-12-15T18:05:16Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16753522923', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,98.5,136.0,False,True,0.0,0.0,17843985207,17843985207,4132F5FD-CF20-4CFB-B4EA-ADEF1E117EAB.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Afternoon Weight Training,0.0,2473,2473,0.0,WeightTraining,WeightTraining,30.0,Apple Watch Series 8,16744526871,2025-12-14T21:32:51Z,2025-12-14T16:32:51Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16744526871', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,93.1,142.0,False,True,0.0,0.0,17834896672,17834896672,60390E8E-E984-4CEF-B836-5AB574FFFDF0.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Night Run,3204.1,1286,1286,0.0,Run,Run,,Apple Watch Series 8,16727439992,2025-12-13T05:26:13Z,2025-12-13T00:26:13Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16727439992', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],2.492,3.34,True,159.3,178.0,False,True,0.0,0.0,17817544239,17817544239,7FC39EDD-49DC-4D58-8586-7E57404923A2.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Night Weight Training,0.0,2598,2598,0.0,WeightTraining,WeightTraining,30.0,Apple Watch Series 8,16727387805,2025-12-13T04:41:34Z,2025-12-12T23:41:34Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16727387805', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,89.1,135.0,False,True,0.0,0.0,17817490343,17817490343,5E2FB668-EB6F-4F6C-955D-5FDF4E24BE81.fit,False,0,0,False,,,,,
2,"{'id': 62637210, 'resource_state': 1}",Night Weight Training,0.0,2401,2401,0.0,WeightTraining,WeightTraining,30.0,Apple Watch Series 8,16709802518,2025-12-11T03:53:33Z,2025-12-10T22:53:33Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,0,0,1,0,"{'id': 'a16709802518', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,92.4,127.0,False,True,0.0,0.0,17799674610,17799674610,B57AE06B-713E-496A-AC3D-35EA8FFC0408.fit,False,0,0,False,,,,,
