activity_id,time_offset,heartrate,watts
16850448604,0,86,
16850448604,1,86,
16850448604,5,85,
16850448604,7,87,
16850448604,12,90,
16850448604,44,90,
16850448604,47,91,
16850448604,52,95,
16850448604,57,98,
16850448604,66,97,
16850448604,71,100,
16850448604,76,104,
16850448604,80,104,
16850448604,82,102,
16850448604,87,98,
16850448604,92,99,
16850448604,101,105,
16850448604,105,106,
16850448604,107,107,
16850448604,112,107,
16850448604,119,108,
16850448604,122,108,
16850448604,131,110,
16850448604,134,117,
16850448604,141,125,
16850448604,143,125,
16850448604,149,125,
16850448604,152,124,
16850448604,161,130,
16850448604,166,129,
16850448604,167,129,
16850448604,176,127,
16850448604,177,127,
16850448604,182,128,
16850448604,187,129,
16850448604,192,131,
16850448604,197,136,
16850448604,203,142,
16850448604,211,147,
16850448604,213,147,
16850448604,219,148,
16850448604,222,149,
16850448604,229,149,
16850448604,233,149,
16850448604,239,156,
16850448604,242,159,
16850448604,247,159,
16850448604,252,160,
16850448604,260,161,
16850448604,265,157,
16850448604,268,158,
16850448604,276,150,
16850448604,280,158,
16850448604,283,158,
16850448604,291,157,
16850448604,296,160,
16850448604,297,160,
16850448604,303,161,
16850448604,311,162,
16850448604,312,161,
16850448604,320,162,
16850448604,322,162,
16850448604,331,159,
16850448604,334,159,
16850448604,337,160,
16850448604,342,160,
16850448604,348,163,
16850448604,352,166,
16850448604,357,166,
16850448604,364,165,
16850448604,369,165,
16850448604,372,165,
16850448604,381,160,
16850448604,386,160,
16850448604,388,162,
16850448604,392,163,
16850448604,398,163,
16850448604,406,159,
16850448604,408,160,
16850448604,415,161,
16850448604,419,161,
16850448604,426,160,
16850448604,430,162,
16850448604,436,162,
16850448604,438,163,
16850448604,443,166,
16850448604,448,166,
16850448604,455,167,
16850448604,460,167,
16850448604,464,168,
16850448604,471,169,
16850448604,476,169,
16850448604,477,169,
16850448604,485,168,
16850448604,487,169,
16850448604,493,168,
16850448604,501,168,
16850448604,502,168,
16850448604,511,171,
16850448604,513,172,
16850448604,520,171,
16850448604,526,172,
16850448604,529,173,
16850448604,533,174,
16850448604,540,175,
16850448604,546,175,
16850448604,551,176,
16850448604,554,177,
16850448604,561,178,
16850448604,564,178,
16850448604,570,177,
16850448604,575,177,
16850448604,579,175,
16850448604,582,173,
16850448604,589,167,
16850448604,595,167,
16850448604,600,165,
16850448604,605,163,
16850448604,608,162,
16850448604,616,155,
16850448604,621,154,
16850448604,624,153,
16850448604,629,151,
16850448604,632,151,
16850448604,639,146,
16850448604,645,145,
16850448604,647,144,
16850448604,656,143,
16850448604,657,143,
16850448604,666,145,
16850448604,670,147,
16850448604,674,147,
16850448604,677,146,
16850448604,685,139,
16850448604,687,139,
16850448604,696,140,
16850448604,698,140,
16850448604,706,136,
16850448604,710,134,
16850448604,716,131,
16850448604,720,132,
16850448604,722,132,
16850448604,731,133,
16850448604,734,131,
16850448604,738,130,
16850448604,876,126,
16850448604,877,125,
16850448604,884,122,
16850448604,888,124,
16850448604,892,126,
16850448604,897,128,
16850448604,906,134,
16850448604,911,138,
16850448604,913,140,
16850448604,921,143,
16850448604,925,144,
16850448604,930,144,
16850448604,936,148,
16850448604,940,149,
16850448604,942,151,
16850448604,947,153,
16850448604,954,156,
16850448604,961,161,
16850448604,966,160,
16850448604,971,159,
16850448604,973,159,
16850448604,979,162,
16850448604,986,165,
16850448604,988,166,
16850448604,992,168,
16850448604,997,170,
16850448604,1006,174,
16850448604,1009,175,
16850448604,1016,176,
16850448604,1021,176,
16850448604,1024,177,
16850448604,1031,177,
16850448604,1033,177,
16850448604,1038,177,
16850448604,1044,175,
16850448604,1047,174,
16850448604,1055,169,
16850448604,1059,166,
16850448604,1063,165,
